Time:2017-09-19 15:00:20:210-Trace>>Socket connect status: TotalCount=11, CurrentCount=0, CloseCount=11, RejectedCount=0


Time:2017-09-19 15:01:20:223-Trace>>Socket connect status: TotalCount=11, CurrentCount=0, CloseCount=11, RejectedCount=0


Time:2017-09-19 15:02:20:238-Trace>>Socket connect status: TotalCount=11, CurrentCount=0, CloseCount=11, RejectedCount=0


Time:2017-09-19 15:03:20:251-Trace>>Socket connect status: TotalCount=11, CurrentCount=0, CloseCount=11, RejectedCount=0


Time:2017-09-19 15:04:20:265-Trace>>Socket connect status: TotalCount=11, CurrentCount=0, CloseCount=11, RejectedCount=0


Time:2017-09-19 15:05:20:277-Trace>>Socket connect status: TotalCount=13, CurrentCount=2, CloseCount=11, RejectedCount=0


Time:2017-09-19 15:06:20:290-Trace>>Socket connect status: TotalCount=13, CurrentCount=-1, CloseCount=14, RejectedCount=0


Time:2017-09-19 15:07:20:304-Trace>>Socket connect status: TotalCount=13, CurrentCount=-1, CloseCount=14, RejectedCount=0


Time:2017-09-19 15:08:20:319-Trace>>Socket connect status: TotalCount=13, CurrentCount=-1, CloseCount=14, RejectedCount=0


Time:2017-09-19 15:09:20:332-Trace>>Socket connect status: TotalCount=13, CurrentCount=-1, CloseCount=14, RejectedCount=0


Time:2017-09-19 15:10:20:346-Trace>>Socket connect status: TotalCount=13, CurrentCount=-1, CloseCount=14, RejectedCount=0


Time:2017-09-19 15:11:20:359-Trace>>Socket connect status: TotalCount=15, CurrentCount=1, CloseCount=14, RejectedCount=0


Time:2017-09-19 15:12:20:373-Trace>>Socket connect status: TotalCount=15, CurrentCount=1, CloseCount=14, RejectedCount=0


Time:2017-09-19 15:13:22:742-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-09-19 15:13:22:742-Redis write queue start init...


Time:2017-09-19 15:13:22:747-Sql wait write queue start init...


Time:2017-09-19 15:13:22:749-Sql write queue start init...


Time:2017-09-19 15:14:22:507-Trace>>Socket connect status: TotalCount=2, CurrentCount=2, CloseCount=0, RejectedCount=0


Time:2017-09-19 15:15:22:519-Trace>>Socket connect status: TotalCount=2, CurrentCount=2, CloseCount=0, RejectedCount=0


Time:2017-09-19 15:16:22:534-Trace>>Socket connect status: TotalCount=2, CurrentCount=2, CloseCount=0, RejectedCount=0


Time:2017-09-19 15:17:22:546-Trace>>Socket connect status: TotalCount=2, CurrentCount=2, CloseCount=0, RejectedCount=0


Time:2017-09-19 15:18:22:559-Trace>>Socket connect status: TotalCount=2, CurrentCount=2, CloseCount=0, RejectedCount=0


Time:2017-09-19 15:19:22:575-Trace>>Socket connect status: TotalCount=2, CurrentCount=2, CloseCount=0, RejectedCount=0


Time:2017-09-19 15:20:22:588-Trace>>Socket connect status: TotalCount=2, CurrentCount=2, CloseCount=0, RejectedCount=0


Time:2017-09-19 15:21:22:602-Trace>>Socket connect status: TotalCount=2, CurrentCount=2, CloseCount=0, RejectedCount=0


