Time:2017-09-15 17:00:38:711-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=10, RejectedCount=0


Time:2017-09-15 17:01:38:726-Trace>>Socket connect status: TotalCount=12, CurrentCount=1, CloseCount=11, RejectedCount=0


Time:2017-09-15 17:02:38:739-Trace>>Socket connect status: TotalCount=12, CurrentCount=0, CloseCount=12, RejectedCount=0


Time:2017-09-15 17:03:38:753-Trace>>Socket connect status: TotalCount=13, CurrentCount=1, CloseCount=12, RejectedCount=0


Time:2017-09-15 17:04:38:767-Trace>>Socket connect status: TotalCount=14, CurrentCount=1, CloseCount=13, RejectedCount=0


Time:2017-09-15 17:05:38:779-Trace>>Socket connect status: TotalCount=14, CurrentCount=1, CloseCount=13, RejectedCount=0


Time:2017-09-15 17:06:38:793-Trace>>Socket connect status: TotalCount=14, CurrentCount=1, CloseCount=13, RejectedCount=0


Time:2017-09-15 17:07:38:807-Trace>>Socket connect status: TotalCount=14, CurrentCount=1, CloseCount=13, RejectedCount=0


Time:2017-09-15 17:08:38:820-Trace>>Socket connect status: TotalCount=14, CurrentCount=1, CloseCount=13, RejectedCount=0


Time:2017-09-15 17:09:38:836-Trace>>Socket connect status: TotalCount=14, CurrentCount=1, CloseCount=13, RejectedCount=0


Time:2017-09-15 17:10:38:848-Trace>>Socket connect status: TotalCount=16, CurrentCount=0, CloseCount=16, RejectedCount=0


Time:2017-09-15 17:11:38:862-Trace>>Socket connect status: TotalCount=16, CurrentCount=0, CloseCount=16, RejectedCount=0


Time:2017-09-15 17:12:38:876-Trace>>Socket connect status: TotalCount=16, CurrentCount=0, CloseCount=16, RejectedCount=0


Time:2017-09-15 17:13:38:889-Trace>>Socket connect status: TotalCount=16, CurrentCount=0, CloseCount=16, RejectedCount=0


Time:2017-09-15 17:14:32:270-Redis write queue start init...


Time:2017-09-15 17:14:32:271-Sql wait write queue start init...


Time:2017-09-15 17:14:32:272-Sql write queue start init...


Time:2017-09-15 17:14:32:760-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-09-15 17:15:32:769-Trace>>Socket connect status: TotalCount=2, CurrentCount=0, CloseCount=2, RejectedCount=0


Time:2017-09-15 17:16:32:783-Trace>>Socket connect status: TotalCount=2, CurrentCount=0, CloseCount=2, RejectedCount=0


Time:2017-09-15 17:17:32:797-Trace>>Socket connect status: TotalCount=2, CurrentCount=0, CloseCount=2, RejectedCount=0


Time:2017-09-15 17:18:32:810-Trace>>Socket connect status: TotalCount=2, CurrentCount=0, CloseCount=2, RejectedCount=0


Time:2017-09-15 17:19:32:824-Trace>>Socket connect status: TotalCount=2, CurrentCount=0, CloseCount=2, RejectedCount=0


Time:2017-09-15 17:20:32:837-Trace>>Socket connect status: TotalCount=2, CurrentCount=0, CloseCount=2, RejectedCount=0


Time:2017-09-15 17:21:32:851-Trace>>Socket connect status: TotalCount=2, CurrentCount=0, CloseCount=2, RejectedCount=0


Time:2017-09-15 17:22:32:865-Trace>>Socket connect status: TotalCount=2, CurrentCount=0, CloseCount=2, RejectedCount=0


